amount,time_of_day,merchant_category,distance_from_home,foreign_transaction,high_risk_country,fraud
46.92680899768591,22,9,7.715725148677455,0,0,0
301.0121430917521,3,8,55.085518394141374,0,0,0
131.67456935454493,17,0,52.20113510033046,0,1,0
91.29425537759532,4,6,83.10198323555528,0,0,0
16.962487046234628,15,9,7.515256106454673,1,0,0
16.959629191460518,13,6,76.50365214715853,0,0,0
5.983876860868068,18,7,361.57229373232263,0,0,0
201.12308644799396,13,5,95.20469517318833,0,0,0
91.90821536272645,8,7,69.67845315132817,0,0,0
123.12500617045903,5,0,54.2599359138477,0,0,0
2.0799307999138623,16,0,27.39017137883882,0,0,0
350.3557475158312,18,8,65.55937558038423,0,0,0
178.6429543354675,11,3,64.39998381295486,0,0,0
20.067898874966335,15,5,79.55004082754327,0,0,0
20.261142283225706,10,9,29.77960234817815,0,0,0
36.27537294604771,21,8,6.462896110733728,0,0,0
74.39278308608544,3,9,40.94319963373543,0,0,0
56.55370667803366,16,3,15.397200212977824,0,0,0
34.42229925539415,7,8,24.260582148378408,0,0,0
94.63708738997987,13,4,0.8784163612323816,0,0,0
15.023452872733866,1,6,24.127345448121247,0,0,0
34.551551200240226,10,2,82.72205318044219,0,0,0
60.893468785977504,23,2,0.4924434101993759,0,0,0
153.7936011030912,21,7,31.729181852624816,0,0,0
22.273586212869027,23,5,17.22684880451519,0,0,0
72.20291550331277,5,8,32.46136239857509,0,0,0
89.75047213097605,20,8,25.933878610077393,0,0,0
4.756384975640855,20,7,134.3971012873102,0,1,0
93.533302064961,13,0,2.102455009651511,0,0,0
18.696125197741644,9,5,57.53550763942857,0,0,0
6.726393087930424,7,3,95.19937438194337,0,0,0
297.3687793506931,6,3,160.00096736240138,0,0,0
337.06303424611724,7,2,9.778621751890437,0,0,0
165.23315728128767,7,8,37.89013096966688,0,0,0
36.32878599687583,22,1,2.228407281462767,0,0,0
10.277731500250624,1,0,34.57577806425456,0,0,0
115.27507630986618,15,9,6.702753030932753,1,0,0
58.009084258539836,8,2,90.9760668281328,0,0,0
13.015223395444863,12,3,6.044580760912391,0,0,0
68.35472281341501,22,3,36.00417235263426,0,0,0
3.4993721443479084,11,5,36.81276316289472,0,0,0
240.04228873930236,21,0,178.1572906343839,0,0,0
29.94577768406861,16,0,53.20774521044351,0,0,0
108.62557985649804,1,1,16.97265426234601,0,0,0
37.354658165762366,12,3,13.774456137696347,1,0,0
73.41108959092286,0,6,6.862526754594511,0,0,0
79.12237979817975,18,5,70.63494033308697,0,0,0
20.438859950790576,10,8,58.681339578520195,0,0,0
349.28071327362267,4,6,47.06467656472545,0,0,0
149.22453771381407,0,4,2.08489196833188,0,0,0
280.50944192915824,19,5,71.94866578494047,0,0,0
225.21519975341965,12,9,51.34541557835621,1,0,0
91.1054412383275,7,8,166.0577049293462,0,0,0
254.9435379269405,5,0,44.239861220669766,0,0,0
9.265545895311563,16,8,18.116826070550193,0,0,0
21.813469463126744,11,5,24.024565839354665,0,0,0
4.628196568683196,0,3,9.669572452029156,0,0,0
39.35320868030868,2,4,64.171400461457,0,0,0
49.21302917942186,13,0,61.50243558175021,0,0,0
